track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart
Infatuated,1793724,Rangga Jones,spotify:track:5metBY9o3NFrHGq38lBhsS,Rangga Jones,60,60,-1,6
Interlude,134883,BTS,spotify:track:2QVXLAI2Io3tDmhFOSumr0,BIGHIT MUSIC,134,134,-1,1
Interlude : Dawn,238691,Agust D,spotify:track:56tf3cHQkwmvoplotk5QXd,BIGHIT MUSIC,79,79,-1,1
Interlude : Dive,1590556,Jimin,spotify:track:2qg2jy3v50RwfV5FAqG3a2,BIGHIT MUSIC,8,8,-1,3
Interlude : Showtime,499917,Jimin,spotify:track:45zLrK0668WQ5JFMyiYmCS,BIGHIT MUSIC,123,123,-1,2
Interlude: What Are You Doing Now,137246,BTS,spotify:track:6w5nte2isfv5QLImckFD8a,BIGHIT MUSIC,130,130,-1,1
Is It Over Now? (Taylor's Version) (From The Vault),940969,Taylor Swift,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,91,91,-1,5
I’ll Be There,3097959,Jin,spotify:track:2SR0alFA2oWYXSoePGTj0V,BIGHIT MUSIC,2,24,8,11
JIKJIN,127159,TREASURE,spotify:track:2bnJ8IxZnVc2YmUaX0sZap,YG Entertainment,12,165,-1,18
JOB T TER,347447,GAVIN:D,spotify:track:2acunZlxZsv1rdHgWGgffi,Gavin D,159,159,-1,3
Jingle Bell Rock,170195,aespa,spotify:track:0ijCESscFXtRc0dtDgu1Uv,SM Entertainment / Warner Records,149,149,-1,1
Just the Way You Are,1476077,Bruno Mars,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Atlantic Records,142,167,-1,10
KING KONG,2329911,TREASURE,spotify:track:0gZenxCArrqlFm4lLXevTq,YG Entertainment,12,12,-1,4
Kill Bill,29046961,SZA,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Top Dawg Entertainment/RCA Records,11,11,-1,105
Kitsch,1833503,IVE,spotify:track:7foeH2Emgq8A3LWk3q6dat,Starship Entertainment,58,58,-1,10
Kryptonite,443002,PUN,spotify:track:1Gsxe1ulIVg3q9GASfmoD6,High Cloud Entertainment,179,179,-1,2
LALALALA,306911,Stray Kids,spotify:track:79f5CcWzdkkDVD4XAIQgKr,Republic Records - Stray Kids,67,67,-1,1
LALISA,69166857,LISA,spotify:track:7uQZVznj0uQOGC9KhV2Mg6,YG Entertainment,1,3,3,151
LAST NIGHT,917617,TREASURE,spotify:track:21z4JbxYftHk9Ertnhv3xB,YG Entertainment,14,14,-1,1
LAST PARADE,1841640,BamBam,spotify:track:5g161vgVSZ2dhzczfNJcyx,Abyss Company,50,50,-1,7
LDR - Sped Up,2655374,Shoti,spotify:track:6bLwOcpjZOL1GuCHBoB4VZ,Sony Music Entertainment,72,72,-1,13
LET IT BURN,275299,TREASURE,spotify:track:1dlrGQGPhnBGIQXHxCtKnv,YGEX,76,76,-1,1
LIAR,3513169,BUS,spotify:track:5dpJemvWkTEM3qIKSbKB82,SONRAY MUSIC,13,13,-1,9
LIKE THAT,3045398,BABYMONSTER,spotify:track:7GDgpad2BQVuDUzaxHFakc,YG Entertainment,102,102,-1,14
LIMBO,5241562,keshi,spotify:track:2bdVgAQgosGUJoViVDNeOV,Island Records,48,48,-1,26
LOLO,640160,YUGYEOM,spotify:track:0LC7FqUsJ4NbS1kklXZH2y,"Genie Music Corporation, Stone Music Entertainment",127,127,-1,4
LOST!,10779434,RM,spotify:track:02H58MSfVESkKyx4diDgu7,BIGHIT MUSIC,1,1,-1,23
LOVE DIVE,324358,IVE,spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,STARSHIP Entertainment,8,158,-1,42
LOVESICK,171503,TREASURE,spotify:track:73vLyboX53L1Xpk0ILDm9s,YG Entertainment,140,140,-1,1
LUNCH,1498147,Billie Eilish,spotify:track:629DixmZGHc7ILtEntuiWE,Darkroom/Interscope Records,76,76,-1,6
La La La,240182,"Naughty Boy, Sam Smith",spotify:track:3wPPWcVuinAU7dXcJXtCID,Virgin Records Ltd,143,143,-1,1
Lady,3687330,25 hours,spotify:track:4c6qgwNYjQQlgQ5Sf0Vaia,Believe Records,71,71,-1,19
Last Christmas,292644,Wham!,spotify:track:2FRnf9qhLbvw8fu4IBXx78,Epic,55,121,-1,23
Last Christmas - Single Version,257361,Wham!,spotify:track:06qMRF18gwbOYYbnP2du6i,Sony Music CG,55,86,-1,22
Lavender,2707628,Patrickananda,spotify:track:3BV2YcwoVRxK4dXxyaHpZU,WM/Thailand,1,74,74,76
Left and Right (Feat. Jung Kook of BTS),25444817,"Charlie Puth, Jung Kook, BTS",spotify:track:5Odq8ohlgIbQKMZivbWkEo,Atlantic Records,1,3,-1,91
Let Me In,289747,EXO,spotify:track:5e6hUjvQG2inD4Svco0PvP,SM Entertainment,159,159,-1,2
Let's Dance,258816,BamBam,spotify:track:6ik3gFk33ugDijVHKISRpz,Abyss Company,150,150,-1,2
Lie With You,2397084,TEN,spotify:track:39uhLliuH6Otvhg9duW9Fb,SM Entertainment,51,51,-1,10
Life Boy (พูดไปก็ไลฟ์บอย),1158137,4EVE,spotify:track:6PBIcQaSWsv3EBExPSk9H3,"TPOP INCORPORATION Co.,Ltd.",64,64,-1,6
Life Goes On,514656,BTS,spotify:track:5FVbvttjEvQ8r2BgUcJgNg,BIGHIT MUSIC,1,70,-1,77
Like Crazy,106349221,Jimin,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,BIGHIT MUSIC,1,1,-1,71
Like Crazy (English Version),4476428,Jimin,spotify:track:0u8rZGtXJrLtiSe34FPjGG,BIGHIT MUSIC,22,22,-1,21
Like I Do,2467523,J.Tajor,spotify:track:1TiZWEsxN85yLJBq56K8mG,ACTS Music Group,108,108,-1,13
