track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%
Love Me Now,104632,NCT 127,spotify:track:1rERmGg7Aywj0Wbv9uVDvV,SM Entertainment,67,67,-1,1,126,F#,Minor,65,39,77,15,0,5,10
Love Message (เพลงประกอบละคร รักฉุดใจนายฉุกเฉิน),836041,"ซันนี่ สุวรรณเมธานนท์, สกาย วงศ์รวี",spotify:track:6F9yDb4e33URT8BaO3Gw6s,GMM Music Public Company Limited,67,67,-1,13,96,C,Major,76,40,28,84,0,14,8
Love Shot,2218629,EXO,spotify:track:33NAYATbWRoo5RuEP30JBZ,SM Entertainment,7,22,19,51,146,F,Minor,69,34,68,7,0,9,12
Love Somebody,112718,Lauv,spotify:track:50wetCP0Nsx5sIaFHCYlCe,Lauv,127,127,-1,2,78,G,Major,51,37,47,26,0,6,14
Love Someone,407405,Lukas Graham,spotify:track:3id2EVGKc3eFAMn9nFnB0r,Warner Records,40,91,91,31,172,A,Minor,54,26,41,17,0,11,5
Love Song,103281,NCT 127,spotify:track:7xH1V8qRKEOCCqIJBvlTva,SM Entertainment,68,68,-1,1,130,C#,Major,65,70,77,4,0,8,15
Love Story (Taylor’s Version),546640,Taylor Swift,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,50,50,-1,8,119,D,Major,63,42,79,14,0,10,3
Love Talk - English Version,302365,WayV,spotify:track:2e3cJdJ8xWwydl8JIYlCqB,LABEL V,91,91,-1,6,98,F#,Minor,75,44,72,14,0,15,4
Love Theory,354781,"TAEYONG, Wonstein",spotify:track:1dmi9lVthTKjuemmO8ucWm,SM Entertainment,118,118,-1,5,120,A#,Major,88,89,71,37,0,10,5
Love To Hate Me,1492023,BLACKPINK,spotify:track:7iKDsPfLT0d5mu2htfMKBZ,YG Entertainment,8,8,-1,12,162,G#,Major,69,60,64,3,0,8,16
Love You Better,113063,Valentina Ploy,spotify:track:21bgTVZYS5QA0v4RvPCSB6,What The Duck,136,136,-1,2,90,C#,Major,68,65,55,53,0,14,7
Love You Like Crazy,46678,TAEYEON,spotify:track:4TsP3ww5zEXxuUdmkWIcqp,SM Entertainment,174,174,-1,1,95,F#,Minor,68,42,80,1,0,5,5
