youtube_title,youtube_artist,publish_date,views,likes,video_url,youtube_source
V 'Winter Ahead (with PARK HYO SHIN) : YUNSEOKCHEOL TRIO Ver.' Audio,SwordsLazer Music,2024-12-20T05:39:04Z,28,2,https://www.youtube.com/watch?v=ALg0smB4AXE,SwordsLazer Music
Blackbeans - Wish (Lyric Video),Blackbean s,2019-06-19T12:57:49Z,131096313,650440,https://www.youtube.com/watch?v=UHpJzCd_lXo,Blackbean s
Juice WRLD - Wishing Well (Official Music Video),Juice WRLD,2020-07-13T17:00:15Z,301983307,3132387,https://www.youtube.com/watch?v=C5i-UnuUKUI,Juice WRLD
WITH YOU (Official MV)  - Twopee Southside Feat Jay Park,Twopee Southside,2019-02-22T10:45:01Z,4351135,97643,https://www.youtube.com/watch?v=29obMp7KHQY,Twopee Southside
[MV] 지민(Jimin) X 하성운(Ha Sung-Woon) - With you | 우리들의 블루스(Our Blues) OST Part 4,냠냠엔터테인먼트 YAMYAM ENTERTAINMENT,2022-04-24T14:00:11Z,64023479,1374694,https://www.youtube.com/watch?v=Z9b0Hj-BfaM,냠냠엔터테인먼트 YAMYAM ENTERTAINMENT
With you (Inst.),Jimin - Topic,2022-04-24T14:04:18Z,695979,45553,https://www.youtube.com/watch?v=b0HsXVdPDvY,Jimin - Topic
"Selena Gomez, Marshmello - Wolves",SelenaGomezVEVO,2017-11-18T16:00:02Z,574729744,5444767,https://www.youtube.com/watch?v=cH4E_t3m3xM,SelenaGomezVEVO
Doja Cat - Woman (Official Video),dojacatVEVO,2021-12-03T15:00:09Z,291569989,3906483,https://www.youtube.com/watch?v=yxW5yuzVi8w,dojacatVEVO
NCT U 엔시티 유 'Work It' MV,SMTOWN,2020-11-27T10:04:21Z,59859109,1628002,https://www.youtube.com/watch?v=Un7choIyl_g,SMTOWN
Imagine Dragons - Wrecked (Official Music Video),ImagineDragonsVEVO,2021-07-15T16:00:10Z,182236495,1201105,https://www.youtube.com/watch?v=Y2NkuFIlLEo,ImagineDragonsVEVO
"French Montana - Writing on the Wall (feat. Post Malone, Cardi B) | Need for Speed Heat OST",Original Soundtrack,2019-11-02T16:12:47Z,869279,10607,https://www.youtube.com/watch?v=NLxe8TOkllo,Original Soundtrack
ENHYPEN (엔하이픈) 'XO (Only If You Say Yes)' Official MV,HYBE LABELS,2024-07-12T03:55:08Z,41790513,1253242,https://www.youtube.com/watch?v=FPDYeRk2PO8,HYBE LABELS
Joji - YUKON (INTERLUDE) [Official Video],Joji,2022-08-26T04:00:30Z,12828447,392675,https://www.youtube.com/watch?v=llFdrwnBwLE,Joji
BLACKPINK - ‘Yeah Yeah Yeah’ (Official Audio),BLACKPINK,2022-09-21T12:01:09Z,21758587,452567,https://www.youtube.com/watch?v=wQTjv-Xo1gY,BLACKPINK
Coldplay - Yellow (Official Video),Coldplay,2011-05-30T13:12:47Z,1139937818,6067374,https://www.youtube.com/watch?v=yKNxeF4KMsY,Coldplay
Ant Saunders - Yellow Hearts (Lyrics),Unique Vibes,2019-11-09T14:48:52Z,116555210,1006376,https://www.youtube.com/watch?v=bzd4n1OEML4,Unique Vibes
Jeff Satur - ส่วนน้อย (Yellow Leaf)【Official Music Video】,Jeff Satur,2024-02-08T10:00:10Z,9367228,116469,https://www.youtube.com/watch?v=RXGmYC1U7ms,Jeff Satur
