track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,clean_track_name
Take What You Want (feat. Ozzy Osbourne & Travis Scott),264538,"Post Malone, Ozzy Osbourne, Travis Scott",spotify:track:7CZyCXKG6d5ALeq41sLzbw,Republic Records,167,167,-1,6,takewhatyouwantfeatozzyosbournetravisscott
TMRW (feat. OG-ANIC & URBOYTJ),1421179,"LAZYLOXY, OG-ANIC, URBOYTJ",spotify:track:7ft1JAnJ3VUEAB2HGaLKP8,Yupp! Entertainment,15,15,-1,19,tmrwfeatoganicurboytj
Stuck with U (with Justin Bieber),13798841,"Ariana Grande, Justin Bieber",spotify:track:4HBZA5flZLE435QTztThqH,"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",5,5,-1,136,stuckwithuwithjustinbieber
Until I Found You (with Em Beihold) - Em Beihold Version,10989240,"Stephen Sanchez, Em Beihold",spotify:track:1Y3LN4zO1Edc2EluIoSPJN,Republic Records,35,35,-1,56,untilifoundyouwithembeiholdembeiholdversion
Wandered To LA (with Justin Bieber),105721,"Juice WRLD, Justin Bieber",spotify:track:1cA4wEmLkKlttS6N89LbJh,Grade A Productions/Interscope Records,179,179,-1,2,wanderedtolawithjustinbieber
What A Time (feat. Niall Horan),22946,"Julia Michaels, Niall Horan",spotify:track:5WtfUKzXircvW8l5aaVZWT,Republic Records,182,182,-1,1,whatatimefeatniallhoran
We don't talk together (Prod. by SUGA),49575,"Heize, GIRIBOY",spotify:track:77dcmf2tTedc3BuOPF13Ma,Genie Music Corporation,102,102,-1,1,wedonttalktogetherprodbysuga
White Christmas (with V of BTS),6837707,"V, Bing Crosby",spotify:track:7134tEHq45eL6am9oVazZU,White Christmas,1,1,-1,3,whitechristmaswithvofbts
What's Up Danger (with Black Caviar),20998,"Blackway, Black Caviar",spotify:track:5zsHmE2gO3RefVsPyw2e3T,Universal Records,182,182,-1,1,whatsupdangerwithblackcaviarluther (with sza),2070610,"Kendrick Lamar, SZA",spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"pgLang, under exclusive license to Interscope Records",79,79,-1,6,lutherwithsza
boyfriend (with Social House),5636561,"Ariana Grande, Social House",spotify:track:0Ryd8975WihbObpp5cPW1t,Republic Records,10,10,-1,86,boyfriendwithsocialhouse
กอดที (ONE HUG) [เพลงประกอบภาพยนตร์ เพราะเราคู่กัน The Movie],152790,BRIGHT,spotify:track:5nSL6n4bvqcYTwCSL7qU8g,GMM Music Public Company Limited,148,148,-1,3,กอดทีonehugเพลงประกอบภาพยนตร์เพราะเราคู่กันthemovie
ก่อนเคยเป็น (feat. LAZYLOXY),94700,"Maiyarap, LAZYLOXY",spotify:track:13tej4bZgY7zbHNQlmR68D,Yupp! Entertainment,132,132,-1,2,ก่อนเคยเป็นfeatlazyloxy
off the table (with The Weeknd),49035,"Ariana Grande, The Weeknd",spotify:track:7E1jVNoWuemqUryI4FxsVD,Republic Records,198,198,-1,1,offthetablewiththeweeknd
